number,id,asset,group,chance,name,description,aspect1,aspect1Time,aspect2,aspect2Time,aspect3,aspect3Time,aspect4,aspect4Time,aspect5,aspect5Time,aspect6,aspect6Time,antiAspect1,antiAspect1Time,antiAspect2,antiAspect2Time,antiAspect3,antiAspect3Time,antiAspect4,antiAspect4Time,uniqueness
1,curiosity,curiosity,first_hand,10,Любопытство,Базовая мотивация из глубин сознания. Стремление к чему-то новому.,stimulus,,phenomenon,,,,,,,,,,anxiety,,,,,,,,
2,determination,determination,first_hand,10,Решительность,Базовая мотивация из глубин сознания. Проявление воли для совершения поступков.,stimulus,,focus,,,,,,,,,,weakness,,,,,,,,
3,destruction,touch,first_hand,10,Агрессия,Базовая мотивация из глубин сознания. Тяга к разрушению и саморазрушению.,stimulus,,literal,,,,,,,,,,weakness,,,,,,,,
4,concentration,concentration,first_hand,10,Концентрация,Базовая мотивация из глубин сознания. Фокусировка на объекте или субъекте.,stimulus,,image,,,,,,,,,,distraction,,,,,,,,
5,inspiration,inspiration,first_hand,10,Вдохновение,Базовая мотивация из глубин сознания. Желание создавать и нести красоту в мир.,stimulus,,astral,,,,,,,,,,distraction,,,,,,,,
6,loneliness,loneliness,first_hand,10,Одиночество,Базовая мотивация. Стремление к общению и обмену опытом.,stimulus,,I,,,,,,,,,,anxiety,,,,,,,,
7,extract,open,hand_curiosity,10,Открыть,Что там внутри?,container,,complex,,,,focus,4,,,,,closed,,,,,,,,
8,meet,meet,leg_curiosity,10,Знакомиться,"Я должен встречать новых людей, иначе безумие и изоляция сведут меня с ума.",place,,building,,inhabited,,focus,1,,,,,obstacle,,small,,,,,,
9,inspect,thing,head_curiosity,10,Осмотреть,Я должен присмотреться к этому повнимательнее.,thing,,real,,complex,,focus,4,,,,,,,,,,,,,
10,use,touch,hand_determination,10,Использовать,Практически все вещи имеют свое прямое предназначение по умолчанию.,thing,,complex,,use,,focus,3,,,,,,,,,,,,,
11,overcome,explore,leg_determination,10,Преодолеть,Меня не остановит отсутствие прямого пути к моей цели.,place,,small,,obstacle,,focus,2,,,,,,,,,,,,,
12,accept,agree,head_determination,10,Согласиться,Я берусь за это дело.,mind,,request,,,,focus,1,,,,,,,,,,,,,
13,decline,agree,head_determination,10,Отказаться,Мне это не интересно.,mind,,request,,,,focus,1,,,,,,,,,,,,,
14,punch,hit,hand_destruction,10,Ударить,Это должно быть уничтожено.,person,,thing,,,,focus,2,,,,,,,,,,,,,
15,threaten,mistrust,head_destruction,10,Угрожать,"Я получу от тебя то, чего хочу.",mind,,,,,,focus,2,,,,,,,,,,,,,
16,kick,hit,leg_destruction,10,Пнуть,Этого не должно быть в моем пространстве.,person,,thing,,small,,focus,2,,,,,,,,,,,,,
17,read,read,head_concentration,10,Читать,Записанные труды помогут мне разобраться в ситуации.,thing,,meaning,,,,focus,2,,,,,,,,,,,,,
18,hack,break_the_lock,hand_concentration,10,Взломать,"Если что-то закрыто, значит в нем нечто ценное.",container,,secret,,,,focus,4,,,,,,,,,,,,,
19,go,explore,leg_concentration,10,Идти,Здесь должна быть еще одна дорога.,place,,,,,,focus,3,,,,,,obstacle,,,,,,,
20,recover,creation,hand_inspiration,10,Восстановить,Мелкие повреждения на вещах и легкие ранения на людях.,damaged,,,,,,focus,2,,,,,,complex,,,,,,,
21,create,creation,head_inspiration,10,Творить,Творчество позволяет мне отвлечься от криминальных дел.,thing,,meaning,,,,focus,2,,,,,,,,,,,,,
22,behold,touch,leg_inspiration,10,Созерцать,Стоит остановиться здесь. Умиротворение может открыть для меня нечто неожиданное.,place,,phenomenon,,,,focus,1,,,,,,,,,,,,,
23,takeapart,read,hand_loneliness,10,Написать,Записи помогают мне структурировать информацию.,container,,secret,,,,focus,2,,,,,,,,,,,,,
24,talk,talk,head_loneliness,10,Разговаривать,Мне нужны детали происходящего.,mind,,memory,,,,focus,3,,,,,,,,,,,,,
25,approach,meet,leg_loneliness,10,Сближаться,Я хочу чаще общаться с интересными людьми.,person,,,,,,focus,1,,,,,,,,,,,,,
26,pay,pay,,10,Оплатить,Я могу что-то оплатить или обменять.,request,,,,,,,,,,,,,,,,,,,,
27,pay_mystic,pay,,10,Оплатить,"Особенные вещи я могу выгодно обменять у тех, кто интересуется Той Стороной.",request,,mystic,,,,,,,,,,,,,,,,,,